1681668487.484840 client started (8382): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1681668487.484936 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:35 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T8103
1681668487.484982 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1681668487.490241 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490246 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490250 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490254 sending message 112 to peer 0x118008000 (8 bytes)
1681668487.490259 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490263 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490268 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490272 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490276 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490280 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490285 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490289 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490294 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490298 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490302 sending message 112 to peer 0x118008000 (8 bytes)
1681668487.490307 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490311 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490315 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490320 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490324 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490328 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490341 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490345 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490350 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490354 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490359 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490363 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490368 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490372 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490377 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490381 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490385 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490390 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490394 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490398 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490403 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490407 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490412 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490416 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490420 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490425 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490429 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490434 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490438 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490442 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490447 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490451 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490455 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490460 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490464 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490469 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490473 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490477 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490482 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490486 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490491 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490495 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490499 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490503 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490508 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490512 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490516 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490521 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490525 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490529 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.490534 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490538 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.490542 sending message 112 to peer 0x118008000 (12 bytes)
